"height" "height_class" "id"
190.5 "tall" 333
162.56 "small" 334
179 "tall" 335
176 "medium" 336
183 "tall" 337
177.8 "medium" 338
177.8 "medium" 339
175.26 "medium" 340
158 "small" 341
198.12 "tall" 342
169 "medium" 343
164 "small" 344
175 "medium" 346
168 "small" 348
162 "small" 349
161 "small" 350
166 "small" 351
177.8 "medium" 352
183 "tall" 353
177.8 "medium" 354
167.64 "small" 355
160 "small" 356
167.64 "small" 357
173 "medium" 358
165 "small" 359
181 "tall" 360
159 "small" 361
188 "tall" 362
164 "small" 363
162 "small" 364
162.56 "small" 365
164 "small" 366
183 "tall" 367
157.48 "small" 369
160.02 "small" 370
187 "tall" 371
187.96 "tall" 372
165.1 "small" 373
175.26 "medium" 374
168 "small" 375
172.72 "medium" 377
164 "small" 378
183 "tall" 379
175.26 "medium" 380
182.88 "tall" 381
193.04 "tall" 382
168 "small" 383
187.96 "tall" 384
167 "small" 385
172.72 "medium" 386
160 "small" 387
163 "small" 388
152.4 "small" 390
154 "small" 391
157 "small" 392
195 "tall" 393
183 "tall" 394
168 "small" 395
162.56 "small" 396
159 "small" 397
161 "small" 398
162 "small" 399
177 "medium" 400
188 "tall" 401
163 "small" 402
171 "medium" 403
160 "small" 404
175.26 "medium" 405
165 "small" 406
152.4 "small" 407
177.8 "medium" 408
175.26 "medium" 410
175.26 "medium" 411
180 "tall" 412
172 "medium" 413
169 "medium" 414
186 "tall" 415
185.42 "tall" 416
187 "tall" 417
160 "small" 418
165.1 "small" 419
153 "small" 420
193.04 "tall" 421
157.48 "small" 423
157.48 "small" 424
183 "tall" 425
186 "tall" 426
175 "medium" 427
189 "tall" 428
187 "tall" 429
198 "tall" 431
175 "medium" 432
170.18 "medium" 433
184 "tall" 434
165.1 "small" 435
160.02 "small" 436
172 "medium" 437
172.72 "medium" 438
177.8 "medium" 440
162.56 "small" 441
180.34 "tall" 442
182.88 "tall" 443
180 "tall" 444
160.02 "small" 445
156 "small" 447
174 "medium" 448
162.56 "small" 449
176 "medium" 450
162.56 "small" 452
186 "tall" 453
172.72 "medium" 454
171 "medium" 455
175.26 "medium" 456
158 "small" 457
179 "tall" 458
160.02 "small" 459
170.18 "medium" 460
172 "medium" 461
162 "small" 462
176 "medium" 465
188 "tall" 466
173 "medium" 467
183 "tall" 468
172.72 "medium" 470
181 "tall" 471
160 "small" 473
155 "small" 475
167.64 "small" 476
175 "medium" 477
183 "tall" 478
174 "medium" 479
161 "small" 481
180 "tall" 482
186 "tall" 483
157 "small" 485
189 "tall" 486
180 "tall" 487
186 "tall" 488
162.56 "small" 489
160.02 "small" 490
168 "small" 491
170 "medium" 492
173 "medium" 493
183 "tall" 494
162.56 "small" 495
185 "tall" 497
170.18 "medium" 498
173 "medium" 499
193 "tall" 500
162 "small" 501
176 "medium" 502
168 "small" 503
157 "small" 504
157 "small" 505
164 "small" 506
183 "tall" 508
183 "tall" 509
169 "medium" 510
172.72 "medium" 511
173 "medium" 512
180 "tall" 513
167.64 "small" 514
169 "medium" 515
185.42 "tall" 516
165.1 "small" 517
190.5 "tall" 518
165 "small" 519
184 "tall" 520
169 "medium" 521
185 "tall" 522
170.18 "medium" 524
178 "medium" 526
156 "small" 529
159 "small" 530
158 "small" 531
172 "medium" 532
179 "tall" 533
155 "small" 534
170.18 "medium" 535
182 "tall" 536
173 "medium" 538
174 "medium" 539
176 "medium" 540
180.34 "tall" 541
163 "small" 542
172 "medium" 543
183 "tall" 544
180.34 "tall" 546
186 "tall" 547
162.56 "small" 548
173 "medium" 549
159 "small" 550
193.04 "tall" 551
150 "small" 552
163 "small" 553
160 "small" 554
178 "medium" 555
169 "medium" 556
186 "tall" 557
175.26 "medium" 558
194 "tall" 559
160.02 "small" 560
187 "tall" 562
177 "medium" 563
180.34 "tall" 564
187 "tall" 565
159 "small" 566
185.42 "tall" 567
162.56 "small" 568
175 "medium" 569
162 "small" 570
175.26 "medium" 571
173 "medium" 573
172.72 "medium" 575
185 "tall" 576
174 "medium" 577
178 "medium" 578
160.02 "small" 579
162.56 "small" 580
190.5 "tall" 581
178 "medium" 582
173 "medium" 583
158 "small" 584
172 "medium" 586
163 "small" 587
177 "medium" 588
172 "medium" 590
173 "medium" 591
182.88 "tall" 592
158 "small" 593
183 "tall" 595
192 "tall" 596
185 "tall" 597
151 "small" 598
172 "medium" 599
179 "tall" 601
188 "tall" 602
160.02 "small" 603
158 "small" 604
181 "tall" 605
172.72 "medium" 606
190.5 "tall" 607
176 "medium" 608
170.18 "medium" 609
171 "medium" 610
169 "medium" 611
174 "medium" 612
180 "tall" 613
169 "medium" 614
157.48 "small" 615
195 "tall" 616
187 "tall" 617
173 "medium" 618
178 "medium" 619
160.02 "small" 621
188 "tall" 622
185 "tall" 623
157.48 "small" 626
192 "tall" 627
177.8 "medium" 628
157.48 "small" 629
153 "small" 630
177.8 "medium" 632
185.42 "tall" 633
170 "medium" 634
177 "medium" 635
172 "medium" 636
185 "tall" 637
162.56 "small" 638
158 "small" 640
165.1 "small" 641
175.26 "medium" 642
185.42 "tall" 643
165.1 "small" 644
170.18 "medium" 645
165.1 "small" 646
177 "medium" 647
181 "tall" 648
160.02 "small" 649
175 "medium" 651
173 "medium" 652
158 "small" 653
169 "medium" 654
183 "tall" 655
185.42 "tall" 656
165.1 "small" 657
188 "tall" 658
190.5 "tall" 659
169 "medium" 660
175 "medium" 661
158 "small" 663
153 "small" 664
176 "medium" 665
186 "tall" 666
175.26 "medium" 668
172 "medium" 669
169 "medium" 670
160.02 "small" 671
160.02 "small" 672
172 "medium" 673
177 "medium" 675
160.02 "small" 676
167.64 "small" 677
170.18 "medium" 678
180 "tall" 679
173 "medium" 680
168 "small" 681
172.72 "medium" 682
160 "small" 683
163 "small" 684
177.8 "medium" 685
164 "small" 687
169 "medium" 688
185 "tall" 689
159 "small" 690
172.72 "medium" 691
170 "medium" 693
182 "tall" 694
157.48 "small" 695
165 "small" 696
164 "small" 697
163 "small" 699
167 "small" 700
177 "medium" 701
165.1 "small" 702
170 "medium" 704
175 "medium" 705
160.02 "small" 706
162 "small" 707
178 "medium" 708
173 "medium" 709
163 "small" 710
173 "medium" 711
183 "tall" 712
174 "medium" 713
182 "tall" 714
178 "medium" 719
154 "small" 720
182.88 "tall" 721
175 "medium" 723
181 "tall" 725
162 "small" 726
162 "small" 727
167 "small" 728
170 "medium" 729
186 "tall" 730
166 "small" 731
181 "tall" 732
160 "small" 733
182 "tall" 734
179 "tall" 736
155 "small" 737
162 "small" 738
171 "medium" 739
168 "small" 740
159 "small" 741
158 "small" 742
157 "small" 743
158 "small" 745
173 "medium" 746
200 "tall" 747
160 "small" 748
177 "medium" 749
183 "tall" 750
171 "medium" 751
168 "small" 752
181 "tall" 753
170 "medium" 754
176 "medium" 755
175 "medium" 756
184 "tall" 758
178 "medium" 759
175 "medium" 760
176 "medium" 761
173 "medium" 762
157 "small" 765
186 "tall" 766
172 "medium" 768
189 "tall" 770
165 "small" 771
150 "small" 772
163 "small" 773
173 "medium" 774
173 "medium" 775
159 "small" 776
154 "small" 777
190 "tall" 778
160 "small" 779
165 "small" 781
182 "tall" 783
164 "small" 784
162.56 "small" 785
182 "tall" 787
156 "small" 788
177 "medium" 789
185.42 "tall" 790
165 "small" 792
158 "small" 793
170 "medium" 794
153 "small" 796
176 "medium" 797
156 "small" 799
165 "small" 802
165.1 "small" 803
167 "small" 804
176 "medium" 805
165 "small" 806
160 "small" 807
170 "medium" 809
169 "medium" 810
172 "medium" 811
178 "medium" 813
175 "medium" 814
175 "medium" 815
181 "tall" 816
188 "tall" 817
172 "medium" 818
167 "small" 819
162.56 "small" 821
172.72 "medium" 822
173 "medium" 823
178 "medium" 824
180 "tall" 826
175 "medium" 827
186 "tall" 828
177.8 "medium" 829
190.5 "tall" 830
179 "tall" 831
180.34 "tall" 832
170.18 "medium" 833
172.72 "medium" 834
183 "tall" 836
171 "medium" 837
173 "medium" 838
185 "tall" 839
188 "tall" 840
188 "tall" 841
172 "medium" 844
175.26 "medium" 845
179 "tall" 846
180.34 "tall" 847
190 "tall" 848
160.02 "small" 849
170.18 "medium" 851
165 "small" 852
185.42 "tall" 854
178 "medium" 855
167.64 "small" 856
192 "tall" 857
160.02 "small" 858
180.34 "tall" 859
165.1 "small" 861
170.18 "medium" 862
180.34 "tall" 863
182.88 "tall" 864
180.34 "tall" 865
162.56 "small" 866
177.8 "medium" 867
170.18 "medium" 868
177 "medium" 869
169 "medium" 870
178 "medium" 871
181 "tall" 872
169 "medium" 873
171 "medium" 874
187.96 "tall" 875
183 "tall" 877
180 "tall" 880
186 "tall" 881
165.1 "small" 882
185 "tall" 883
175 "medium" 884
187 "tall" 885
177 "medium" 886
185.42 "tall" 887
182 "tall" 888
160.02 "small" 889
188 "tall" 890
180 "tall" 891
177.8 "medium" 892
183 "tall" 893
187.96 "tall" 894
190 "tall" 897
167.64 "small" 898
182.88 "tall" 899
170 "medium" 900
153 "small" 901
182.88 "tall" 902
183 "tall" 903
195 "tall" 906
203.2 "tall" 910
164 "small" 911
182.88 "tall" 912
179 "tall" 914
164 "small" 915
174 "medium" 916
171 "medium" 917
176 "medium" 918
165.1 "small" 919
172 "medium" 920
175 "medium" 921
